nombre;direccion;municipio;codigo postal;comarca;lat;lon;categorias
Escola Quatre Vents;av. els Pavos;Blanes;17300;Selva;41.6761430027;2.7843975124;Educació. Formació,Ensenyaments de règim general,3. Educació primària,Educació. Formació,Ensenyaments de règim general,2. Parvulari
Escola L'Esquirol - ZER Vall de Ter;av. de les Mines;Ogassa;17861;Ripollès;42.265830864;2.2775861312;Educació. Formació,Ensenyaments de règim general,3. Educació primària,Educació. Formació,Ensenyaments de règim general,2. Parvulari
Institut Carles Rahola i Llorens;c.  Joan Miró i Ferrà;Girona;17007;Gironès;41.9935589945;2.8028748463;Educació. Formació,Ensenyaments de règim general,7. Batxillerat,Educació. Formació,Ensenyaments de règim general,4. Educació secundària obligatòria,Educació. Formació,Ensenyaments de règim general,5. Programes de formació i inserció (PFI)
Escola Can Puig;c.  Salvador Espriu;Banyoles;17820;Pla de l'Estany;42.1229073034;2.7764308545;Educació. Formació,Ensenyaments de règim general,3. Educació primària,Educació. Formació,Ensenyaments de règim general,2. Parvulari
Esc. de Música Aula Musical;c.  Migdia;Girona;17002;Gironès;41.974352967;2.8206242047;Educació. Formació,Ensenyaments de règim especial,Música
Escola Mas Clarà;av.  Mas Clarà;Bisbal d'Empordà, la;17100;Baix Empordà;41.965947742;3.040564366;Educació. Formació,Ensenyaments de règim general,3. Educació primària,Educació. Formació,Ensenyaments de règim general,2. Parvulari
Institut El Pedró;c.  Mirador del Pedró;Escala, l';17130;Alt Empordà;42.124169857;3.13033021;Educació. Formació,Ensenyaments de règim general,7. Batxillerat,Educació. Formació,Ensenyaments de règim general,4. Educació secundària obligatòria
Escola Montpalau - ZER El Llierca;c.  Major;Argelaguer;17853;Garrotxa;42.2158706958;2.6384540692;Educació. Formació,Ensenyaments de règim general,3. Educació primària,Educació. Formació,Ensenyaments de règim general,2. Parvulari
Esc. de Música Municipal Xavier Montsalvatge;av.  Anselm Clavé;Olot;17800;Garrotxa;42.1777797119;2.486615787;Educació. Formació,Ensenyaments de règim especial,Música
Esc. de Música de Palafrugell;c.  Sant Joan;Palafrugell;17200;Baix Empordà;41.9180171898;3.1614751218;Educació. Formació,Ensenyaments de règim especial,Música
Esc. de Música Municipal;NC  Capmany;Sant Feliu de Guíxols;17220;Baix Empordà;41.781765268;3.026559664;Educació. Formació,Ensenyaments de règim especial,Música
CFA Les Bernardes;c.  Sant Dionís;Salt;17190;Gironès;41.976204649;2.79078189;Educació. Formació,Formació de persones adultes
EASD d'Olot;c.  Pare Antoni Soler;Olot;17800;Garrotxa;42.183526055;2.492237457;Educació. Formació,Ensenyaments de règim especial,Ensenyaments superiors de disseny,Educació. Formació,Ensenyaments de règim general,7. Batxillerat,Educació. Formació,Ensenyaments de règim especial,Arts plàstiques i disseny de grau superior,Educació. Formació,Ensenyaments de règim especial,Arts plàstiques i disseny de grau mitjà
Institut de Palamós;c.  Nàpols;Palamós;17230;Baix Empordà;41.8518138021;3.1192829198;Educació. Formació,Ensenyaments de règim general,7. Batxillerat,Educació. Formació,Ensenyaments de règim general,8. Cicles formatius d'FP de grau mitjà (CFPM),Educació. Formació,Ensenyaments de règim general,9. Cicles formatius d'FP de grau superior (CFPS),Educació. Formació,Ensenyaments de règim general,4. Educació secundària obligatòria
